Category,Instance Type,vCPUs,Memory (GiB),Platform CPU Name,Platform Embedded Emissions (mtCo2eq)
General Purpose,m5.large,2,8,Intel Xeon Platinum 8175M,1.2
General Purpose,m5.xlarge,4,16,Intel Xeon Platinum 8175M,1.2
General Purpose,m5.2xlarge,8,32,Intel Xeon Platinum 8175M,1.2
General Purpose,m5.4xlarge,16,64,Intel Xeon Platinum 8175M,1.2
General Purpose,m5.8xlarge,32,128,Intel Xeon Platinum 8175M,1.2
General Purpose,m5.12xlarge,48,192,Intel Xeon Platinum 8175M,1.2
General Purpose,m5.16xlarge,64,256,Intel Xeon Platinum 8175M,1.2
General Purpose,m5.24xlarge,96,384,Intel Xeon Platinum 8175M,1.2
General Purpose,m5.metal,96,384,Intel Xeon Platinum 8175M,1.2
General Purpose,m5a.large,2,8,AMD EPYC 7571,1.2
General Purpose,m5a.xlarge,4,16,AMD EPYC 7571,1.2
General Purpose,m5a.2xlarge,8,32,AMD EPYC 7571,1.2
General Purpose,m5a.4xlarge,16,64,AMD EPYC 7571,1.2
General Purpose,m5a.8xlarge,32,128,AMD EPYC 7571,1.2
General Purpose,m5a.12xlarge,48,192,AMD EPYC 7571,1.2
General Purpose,m5a.16xlarge,64,256,AMD EPYC 7571,1.2
General Purpose,m5a.24xlarge,96,384,AMD EPYC 7571,1.2
General Purpose,m5ad.large,2,8,AMD EPYC 7571,1.3
General Purpose,m5ad.xlarge,4,16,AMD EPYC 7571,1.3
General Purpose,m5ad.2xlarge,8,32,AMD EPYC 7571,1.3
General Purpose,m5ad.4xlarge,16,64,AMD EPYC 7571,1.3
General Purpose,m5ad.8xlarge,32,128,AMD EPYC 7571,1.3
General Purpose,m5ad.12xlarge,48,192,AMD EPYC 7571,1.3
General Purpose,m5ad.16xlarge,64,256,AMD EPYC 7571,1.3
General Purpose,m5ad.24xlarge,96,384,AMD EPYC 7571,1.3
General Purpose,m5d.large,2,8,Intel Xeon Platinum 8175M,1.3
General Purpose,m5d.xlarge,4,16,Intel Xeon Platinum 8175M,1.3
General Purpose,m5d.2xlarge,8,32,Intel Xeon Platinum 8175M,1.3
General Purpose,m5d.4xlarge,16,64,Intel Xeon Platinum 8175M,1.3
General Purpose,m5d.8xlarge,32,128,Intel Xeon Platinum 8175M,1.3
General Purpose,m5d.12xlarge,48,192,Intel Xeon Platinum 8175M,1.3
General Purpose,m5d.16xlarge,64,256,Intel Xeon Platinum 8175M,1.3
General Purpose,m5d.24xlarge,96,384,Intel Xeon Platinum 8175M,1.3
General Purpose,m5d.metal,96,384,Intel Xeon Platinum 8175M,1.3
General Purpose,m5dn.large,2,8,Intel Xeon Platinum 8259CL,1.3
General Purpose,m5dn.xlarge,4,16,Intel Xeon Platinum 8259CL,1.3
General Purpose,m5dn.2xlarge,8,32,Intel Xeon Platinum 8259CL,1.3
General Purpose,m5dn.4xlarge,16,64,Intel Xeon Platinum 8259CL,1.3
